code,name,date,shares,d_shares,pct,aum_wy,nav,flow_wy
510050,华夏上证50ETF,2026-07-27,761916.68,17910.0,2.4072,2329941.20744,3.058,54768.78
510050,华夏上证50ETF,2026-07-24,744006.68,-38970.0,-4.9772,2278371.656164,3.0622999999999996,-119337.83099999998
510050,华夏上证50ETF,2026-07-23,782976.68,35460.0,4.7437,2416344.332148,3.0861,109433.106
510050,华夏上证50ETF,2026-07-22,747516.68,-90.0,-0.012,2316030.929644,3.0982999999999996,-278.847
510050,华夏上证50ETF,2026-07-21,747606.68,-84600.0,-10.1657,2303002.3777400004,3.0805000000000002,-260610.30000000002
510050,华夏上证50ETF,2026-07-20,832206.68,8460.0,1.027,2510601.112224,3.0168,25522.128
510050,华夏上证50ETF,2026-07-17,823746.68,8730.0,1.0711,2412836.400388,2.9291,25571.043
510050,华夏上证50ETF,2026-07-16,815016.68,89010.0,12.2602,2447739.595044,3.0033,267323.733
510050,华夏上证50ETF,2026-07-15,726006.68,40770.0,5.9498,2225646.0782080004,3.0656000000000003,124984.51200000002
510050,华夏上证50ETF,2026-07-14,685236.68,18450.0,2.767,2092096.107708,3.0531,56329.695
510050,华夏上证50ETF,2026-07-13,666786.68,25920.0,4.0445,2007361.3001400002,3.0105,78032.16
510050,华夏上证50ETF,2026-07-10,640866.68,-17820.0,-2.7054,1957078.667384,3.0538,-54418.716
510050,华夏上证50ETF,2026-07-09,658686.68,-900.0,-0.1364,2034419.679848,3.0885999999999996,-2779.74
510050,华夏上证50ETF,2026-07-08,659586.68,5130.0,0.7839,1986411.245488,3.0116,15449.508
510050,华夏上证50ETF,2026-07-07,654456.68,13950.0,2.178,1971354.411496,3.0121999999999995,42020.189999999995
510050,华夏上证50ETF,2026-07-06,640506.68,-13230.0,-2.0238,1953289.1713279998,3.0495999999999994,-40346.20799999999
510050,华夏上证50ETF,2026-07-03,653736.68,-13860.0,-2.0761,1975788.367964,3.0222999999999995,-41889.077999999994
510050,华夏上证50ETF,2026-07-02,667596.68,28710.0,4.4938,2004592.551036,3.0027,86207.51699999999
510050,华夏上证50ETF,2026-07-01,638886.68,-360.0,-0.0563,1966045.980364,3.0772999999999997,-1107.828
510050,华夏上证50ETF,2026-06-30,639246.68,9180.0,1.457,1969774.719752,3.0813999999999995,28287.251999999997
510050,华夏上证50ETF,2026-06-29,630066.68,-8730.0,-1.3666,1942054.527764,3.0822999999999996,-26908.478999999996
510050,华夏上证50ETF,2026-06-26,638796.68,-8010.0,-1.2384,1914218.1312880001,2.9966,-24002.766
510050,华夏上证50ETF,2026-06-25,646806.68,-32580.0,-4.7955,1978128.8694439998,3.0582999999999996,-99639.41399999999
510050,华夏上证50ETF,2026-06-24,679386.68,-54990.0,-7.488,2054872.952328,3.0246,-166322.754
510050,华夏上证50ETF,2026-06-23,734376.68,-7380.0,-0.9949,2208490.989764,3.0072999999999994,-22193.873999999996
510050,华夏上证50ETF,2026-06-22,741756.68,-28170.0,-3.6588,2296330.3299439996,3.095799999999999,-87208.68599999997
510050,华夏上证50ETF,2026-06-18,769926.68,-6030.0,-0.7771,2317556.299468,3.0100999999999996,-18150.903
510050,华夏上证50ETF,2026-06-17,775956.68,-57060.0,-6.8498,2339664.581536,3.0152,-172047.312
510050,华夏上证50ETF,2026-06-16,833016.68,4140.0,0.4995,2494218.543256,2.9942,12395.988000000001
510050,华夏上证50ETF,2026-06-15,828876.68,12420.0,1.5212,2503870.674944,3.0207999999999995,37518.335999999996
510050,华夏上证50ETF,2026-06-12,816456.68,42570.0,5.5008,2430591.53636,2.9769999999999994,126730.88999999997
510050,华夏上证50ETF,2026-06-11,773886.68,23040.0,3.0685,2266559.308384,2.9287999999999994,67479.55199999998
510050,华夏上证50ETF,2026-06-10,750846.68,-11700.0,-1.5343,2202233.31244,2.933,-34316.1
510050,华夏上证50ETF,2026-06-09,762546.68,-48960.0,-6.0332,2224424.920228,2.9170999999999996,-142821.216
510050,华夏上证50ETF,2026-06-08,811506.68,45360.0,5.9205,2352882.467992,2.8993999999999995,131516.78399999999
510050,华夏上证50ETF,2026-06-05,766146.68,-19080.0,-2.4299,2253620.45922,2.9415,-56123.82
510050,华夏上证50ETF,2026-06-04,785226.68,-30060.0,-3.687,2328903.810212,2.9658999999999995,-89154.95399999998
510050,华夏上证50ETF,2026-06-03,815286.68,-34200.0,-4.026,2443006.53662,2.9964999999999997,-102480.29999999999
510050,华夏上证50ETF,2026-06-02,849486.68,4320.0,0.5111,2544722.2986080004,2.9956000000000005,12940.992000000002
510050,华夏上证50ETF,2026-06-01,845166.68,64080.0,8.204,2508708.256244,2.9682999999999997,190208.664
510050,华夏上证50ETF,2026-05-29,781086.68,-15030.0,-1.8879,2339901.367276,2.9957,-45025.371
510050,华夏上证50ETF,2026-05-28,796116.68,15120.0,1.936,2378557.804836,2.9877,45174.024
510050,华夏上证50ETF,2026-05-27,780996.68,-51570.0,-6.1941,2349862.810784,3.0088,-155163.816
510050,华夏上证50ETF,2026-05-26,832566.68,-25380.0,-2.9582,2536414.39062,3.0465,-77320.17
510050,华夏上证50ETF,2026-05-25,857946.68,-101160.0,-10.5473,2609959.595228,3.0421,-307738.836
510050,华夏上证50ETF,2026-05-22,959106.68,-20520.0,-2.0947,2873675.434616,2.9962,-61482.024
510050,华夏上证50ETF,2026-05-21,979626.68,-25560.0,-2.5428,2933688.018596,2.9947,-76544.53199999999
510050,华夏上证50ETF,2026-05-20,1005186.68,-96300.0,-8.7427,3043202.6737,3.0275,-291548.25
510050,华夏上证50ETF,2026-05-19,1101486.68,-121950.0,-9.9678,3335081.369704,3.0278000000000005,-369240.2100000001
510050,华夏上证50ETF,2026-05-18,1223436.68,32490.0,2.7281,3680709.2517800005,3.0085000000000006,97746.16500000002
510050,华夏上证50ETF,2026-05-15,1190946.68,19260.0,1.6438,3610831.239092,3.0319,58394.39399999999
510050,华夏上证50ETF,2026-05-14,1171686.68,-39870.0,-3.2908,3600241.661636,3.0727,-122508.54900000001
510050,华夏上证50ETF,2026-05-13,1211556.68,-30870.0,-2.4847,3785024.223988,3.1241,-96440.96699999999
510050,华夏上证50ETF,2026-05-12,1242426.68,-53640.0,-4.1387,3873016.689564,3.1173,-167211.972
510050,华夏上证50ETF,2026-05-11,1296066.68,-113580.0,-8.0573,4038154.954876,3.1157000000000004,-353881.20600000006
510050,华夏上证50ETF,2026-05-08,1409646.68,-127260.0,-8.2803,4337200.9050239995,3.0768,-391553.56799999997
510050,华夏上证50ETF,2026-05-07,1536906.68,-95850.0,-5.8704,4769943.572048,3.1036,-297480.06
510050,华夏上证50ETF,2026-05-06,1632756.68,-90720.0,-5.2638,5063668.291684,3.1013,-281349.936
510050,华夏上证50ETF,2026-04-30,1723476.68,-129600.0,-6.9938,5274528.031472,3.0604000000000005,-396627.8400000001
510050,华夏上证50ETF,2026-04-29,1853076.68,-75150.0,-3.8974,5637800.491232,3.0424,-228636.36000000002
510050,华夏上证50ETF,2026-04-28,1928226.68,-87300.0,-4.3314,5832885.707,3.0250000000000004,-264082.50000000006
510050,华夏上证50ETF,2026-04-27,2015526.68,-65160.0,-3.1317,6073991.202848,3.0136000000000003,-196366.176
510050,华夏上证50ETF,2026-04-24,2080686.68,-38970.0,-1.8385,6283257.636264,3.0198,-117681.606
510050,华夏上证50ETF,2026-04-23,2119656.68,-92520.0,-4.1823,6363633.284696,3.0021999999999998,-277763.544
510050,华夏上证50ETF,2026-04-22,2212176.68,-36720.0,-1.6328,6647812.141068,3.0051,-110347.272
510050,华夏上证50ETF,2026-04-21,2248896.68,-33210.0,-1.4552,6761757.647756,3.0067,-99852.507
510050,华夏上证50ETF,2026-04-20,2282106.68,-6210.0,-0.2714,6864805.104108,3.0080999999999998,-18680.301
510050,华夏上证50ETF,2026-04-17,2288316.68,21060.0,0.9289,6830167.626464,2.9848,62859.888
510050,华夏上证50ETF,2026-04-16,2267256.68,20430.0,0.9093,6834645.26186,3.0145,61586.235
510050,华夏上证50ETF,2026-04-15,2246826.68,-9180.0,-0.4069,6759802.749448,3.0086,-27618.948
510050,华夏上证50ETF,2026-04-14,2256006.68,-14310.0,-0.6303,6763282.425972,2.9978999999999996,-42899.94899999999
510050,华夏上证50ETF,2026-04-13,2270316.68,-8820.0,-0.387,6749197.426304,2.9728,-26220.095999999998
510050,华夏上证50ETF,2026-04-10,2279136.68,-17190.0,-0.7486,6776557.090644,2.9732999999999996,-51111.026999999995
510050,华夏上证50ETF,2026-04-09,2296326.68,-18900.0,-0.8163,6792534.31944,2.9579999999999997,-55906.2
510050,华夏上证50ETF,2026-04-08,2315226.68,14760.0,0.6416,6901459.210411999,2.9808999999999997,43998.083999999995
510050,华夏上证50ETF,2026-04-07,2300466.68,2880.0,0.1253,6676414.398696,2.9021999999999997,8358.336
510050,华夏上证50ETF,2026-04-03,2297586.68,11340.0,0.496,6668515.580032,2.9024,32913.216
510050,华夏上证50ETF,2026-04-02,2286246.68,-14760.0,-0.6415,6688643.287008001,2.9256,-43181.856
510050,华夏上证50ETF,2026-04-01,2301006.68,-1260.0,-0.0547,6792801.820028,2.9520999999999997,-3719.6459999999997
510050,华夏上证50ETF,2026-03-31,2302266.68,-24120.0,-1.0368,6673119.97198,2.8985,-69911.81999999999
510050,华夏上证50ETF,2026-03-30,2326386.68,-17820.0,-0.7602,6759781.776076,2.9057,-51779.574
510050,华夏上证50ETF,2026-03-27,2344206.68,-6840.0,-0.2909,6821407.018132,2.9099,-19903.716
510050,华夏上证50ETF,2026-03-26,2351046.68,1620.0,0.069,6810982.23196,2.897,4693.139999999999
510050,华夏上证50ETF,2026-03-25,2349426.68,-75690.0,-3.1211,6890163.624436,2.9327,-221976.063
